SAMPLE_ID,lon,lat,LOI_PCT,PH_CACL2,DATASOURCE,DATASET,OBJECTID,A_PHLOI_ID,X_ITM,Y_ITM,GLOBALID
580001A,-7.430089997941155,55.01745737854798,10.6,4.75,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,1,IE_GSI_GSNI_ApHLOI_1,636448.29,919025.992,{B54688F9-86A6-4396-A970-96C066D09FAE}
580002A,-7.324254698566587,55.282600126826544,8.040000000000001,5.79,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,2,IE_GSI_GSNI_ApHLOI_2,642931.186,948597.613,{CFD088E8-0A3D-4865-9605-798B9C321A5D}
580004A,-7.487426822323959,55.28293682666746,25.0,4.19,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,3,IE_GSI_GSNI_ApHLOI_3,632564.435,948546.724,{C99F885A-8407-45D8-9C36-433C2A8DE54D}
580005A,-7.2717221877255485,55.27155494175468,72.8,3.66,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,4,IE_GSI_GSNI_ApHLOI_4,646281.445,947401.837,{0396750A-BF4C-472A-BA55-DDB386AD1952}
580006A,-7.010071879134758,55.25182823587559,17.8,4.63,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,5,IE_GSI_GSNI_ApHLOI_5,662939.776,945411.12,{DD4381A1-DD0B-40A8-BF9E-76A12EDC5293}
580007A,-7.299978361106915,55.073808924033,60.5,3.45,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,6,IE_GSI_GSNI_ApHLOI_6,644706.573,925373.561,{215196FE-8732-4A0E-821A-8AA82BB4D135}
580008A,-7.260683601387102,55.06705509930114,18.0,4.71,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,7,IE_GSI_GSNI_ApHLOI_7,647224.022,924647.695,{363DA16D-F3C3-4525-B54D-96511BE84975}
580009A,-7.253392575734357,55.28920229794042,61.1,3.41,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,8,IE_GSI_GSNI_ApHLOI_8,647425.214,949378.404,{0F6CA9D7-78F9-4016-8477-FA44D5304AB5}
580010A,-7.4815498121792565,55.23281784415903,71.10000000000001,3.67,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,9,IE_GSI_GSNI_ApHLOI_9,632979.287,942970.91,{75C371B5-7FCE-479F-BFB9-CF19FA32C9C9}
580011A,-7.409017775470201,55.285528298195345,73.9,3.33,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,10,IE_GSI_GSNI_ApHLOI_10,637543.36,948874.605,{F573BBF0-1A22-4CED-BA6E-0624220FAC71}
580013A,-7.292012637855622,55.35660204156203,55.300000000000004,3.49,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,11,IE_GSI_GSNI_ApHLOI_11,644895.838,956854.8300000001,{CF3FC8A3-38BF-4131-9748-07644B4570BD}
580014A,-7.222669354574531,55.3028433090997,11.1,5.29,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,12,IE_GSI_GSNI_ApHLOI_12,649359.805,950918.057,{7363E0F0-9A49-428F-903D-AE1C10BDE93D}
580015A,-7.256491036519466,55.30446426488956,9.72,4.45,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,13,IE_GSI_GSNI_ApHLOI_13,647210.277,951075.043,{024C49DF-C1C7-421F-A7BF-5C94185CB3A1}
580016A,-6.97779716579774,55.243504637330126,97.9,2.96,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,14,IE_GSI_GSNI_ApHLOI_14,665005.314,944514.296,{83C8F931-C7AD-4D49-9E23-796203992A38}
580017A,-7.359213560748101,55.30656486973241,4.93,7.55,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,15,IE_GSI_GSNI_ApHLOI_15,640685.701,951244.069,{FB06FA50-B8C8-43E4-B8B4-BFBC5B88FDFE}
580018A,-7.2059766204280455,55.30534972375873,58.0,4.86,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,16,IE_GSI_GSNI_ApHLOI_16,650416.577,951208.985,{B01A14CB-CD21-44B1-B89F-E4F4DB3A3D30}
580019A,-7.166261626757778,55.30399803488184,13.4,5.75,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,17,IE_GSI_GSNI_ApHLOI_17,652940.022,951087.988,{45B049BB-1E9E-4222-B9DC-B1956993F1DB}
580020A,-7.322904590573776,55.32396509856168,10.200000000000001,7.21,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,18,IE_GSI_GSNI_ApHLOI_18,642972.222,953202.629,{C6805E90-5666-4BCC-9AF6-588B0C126B84}
580021A,-6.958112124688793,55.23152586225458,88.0,3.06,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,19,IE_GSI_GSNI_ApHLOI_19,666277.024,943199.568,{1EAA7678-8E3E-4FD0-9057-53E94DCF8298}
580022A,-7.344989655255477,55.35934084831437,7.75,4.39,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,20,IE_GSI_GSNI_ApHLOI_20,641533.575,957126.804,{89922B37-6FEF-45D6-B476-9B572FD67AA4}
580023A,-7.017291754746514,55.262575903890244,10.9,4.45,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,21,IE_GSI_GSNI_ApHLOI_21,662463.89,946600.869,{3B572DB3-E5A4-40BC-9EBD-8D908159E0F6}
580025A,-7.439877722276845,55.26225712683258,97.0,3.21,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,22,IE_GSI_GSNI_ApHLOI_22,635603.753,946268.181,{D851FEFF-5EF4-41CE-B3AF-F6E64944C0CB}
580026A,-7.132628176503731,55.24487455301715,28.2,5.0200000000000005,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,23,IE_GSI_GSNI_ApHLOI_23,655157.479,944533.371,{C50D4369-F0D5-44BB-B660-E8C9269374C0}
580027A,-7.394146845445222,55.24412774111334,24.1,4.0200000000000005,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,24,IE_GSI_GSNI_ApHLOI_24,638528.099,944274.578,{BBF6960D-B6E1-48D4-A268-1C1C5032BE1D}
580028A,-7.172832038772307,55.33553495881605,37.0,3.33,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,25,IE_GSI_GSNI_ApHLOI_25,652481.154,954593.242,{250CF96E-34CD-428B-9D7A-237E524B1501}
580029A,-7.195153294688108,55.336708112094726,64.6,3.3000000000000003,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,26,IE_GSI_GSNI_ApHLOI_26,651063.466,954707.231,{8BD262A4-35B8-4C7D-AA1D-F2621234831D}
580030A,-7.237267599399618,55.28795282707136,57.300000000000004,3.9,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,27,IE_GSI_GSNI_ApHLOI_27,648450.989,949250.422,{BD2CC12B-648E-43B2-AE70-12AA4336A3C5}
580031A,-7.441418646860549,55.0526409841536,6.43,7.4,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,28,IE_GSI_GSNI_ApHLOI_28,635692.493,922936.163,{E84B7A4F-191E-4BD5-A369-212FC90ADD0D}
580032A,-7.1706653052002975,55.26350828295107,44.6,5.04,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,29,IE_GSI_GSNI_ApHLOI_29,652714.032,946577.955,{8E20E262-A46F-4741-9E48-3486593AD96E}
580034A,-7.331385441237154,55.26845631383202,9.61,4.83,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,30,IE_GSI_GSNI_ApHLOI_30,642493.266,947018.954,{14CBCB44-81A6-4EC7-B1B5-99C5DE72127D}
580035A,-7.390526004248543,55.05430989598399,13.6,4.58,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,31,IE_GSI_GSNI_ApHLOI_31,638942.795,923149.088,{6FFF6EB3-834D-41B2-8B22-CE0140C52037}
580036A,-7.377900851576998,55.36507291647103,32.3,4.03,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,32,IE_GSI_GSNI_ApHLOI_32,639441.038,957745.693,{87ACFBBB-6FF7-4CF2-94A3-BADBAFFE1E2F}
580037A,-7.3624453093675335,55.266116551802526,48.1,3.27,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,33,IE_GSI_GSNI_ApHLOI_33,640521.691,946740.033,{F30A31C5-EFB9-4059-A062-8158E34218E4}
580038A,-7.283871923648828,55.272201741542524,77.5,4.89,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,34,IE_GSI_GSNI_ApHLOI_34,645508.614,947465.8300000001,{F8C8F4C1-5560-4B93-BAFA-76EA511A3F1F}
580039A,-7.323783324341164,55.33526066675023,85.7,3.38,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,35,IE_GSI_GSNI_ApHLOI_35,642904.25,954459.361,{FBC8190D-6325-4594-BB8D-4FD85918CEC4}
580040A,-7.454701025645472,55.03550857151849,15.6,5.0,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,36,IE_GSI_GSNI_ApHLOI_36,634858.653,921022.5800000001,{BD0250F2-4999-4378-B154-8DD1CD3A4F0E}
580041A,-7.271239633557366,55.357072676827265,97.2,3.36,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,37,IE_GSI_GSNI_ApHLOI_37,646212.55,956920.803,{1EF88E26-0098-4882-9486-3A5B2A92E9B6}
580042A,-7.325033306514882,55.29791029958585,15.6,5.2,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,38,IE_GSI_GSNI_ApHLOI_38,642865.217,950301.249,{E4D93528-6C67-4FEF-A2C1-D4EFBE094E19}
580044A,-7.417156413435896,55.05224866933666,5.19,7.37,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,39,IE_GSI_GSNI_ApHLOI_39,637243.159,922905.156,{C43A1307-9BBC-427E-927C-A7DD8BAE69F9}
580045A,-7.315852826223306,55.355606166965245,16.6,4.36,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,40,IE_GSI_GSNI_ApHLOI_40,643385.167,956728.871,{FDA8329C-B07D-4291-BB59-DC8188C2CE54}
580046A,-7.445402538181905,55.24505433182175,66.7,4.13,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,41,IE_GSI_GSNI_ApHLOI_41,635267.806,944350.593,{174B85DE-CD7C-45CC-81FE-8F6995016001}
580047A,-7.354646854085169,55.375335642100424,70.9,3.6,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,42,IE_GSI_GSNI_ApHLOI_42,640904.73,958901.431,{F1B6F64E-C1B5-4BD7-A0A7-7735D2762907}
580048A,-7.393433840664113,55.033799119031364,8.34,5.26,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,43,IE_GSI_GSNI_ApHLOI_43,638776.808,920864.578,{973CC5A3-B5C0-41D7-B1BB-8A7AC260264E}
580049A,-7.371108432877466,55.03630864320423,11.4,4.43,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,44,IE_GSI_GSNI_ApHLOI_44,640201.504,921156.503,{6454F9F0-A959-4C52-9251-397E31722872}
580050A,-7.506016185430324,55.03800049266948,9.03,5.68,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,45,IE_GSI_GSNI_ApHLOI_45,631576.362,921275.556,{E4172411-DC72-4212-8AB6-3DF37B614D48}
580051A,-7.1963497278222555,55.26438979953001,17.3,4.98,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,46,IE_GSI_GSNI_ApHLOI_46,651080.39,946656.952,{1A45D041-3268-48F6-9A61-C60DB16C04F8}
580052A,-7.260247548157811,55.32426616531348,30.6,4.16,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,47,IE_GSI_GSNI_ApHLOI_47,646948.355,953276.575,{C5A545E0-E5F5-4637-A347-FFA83EACBCF4}
580053A,-7.39321927558974,55.02420457458956,26.8,4.9,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,48,IE_GSI_GSNI_ApHLOI_48,638799.792,919796.806,{646DFBE7-01C0-48BC-B5BA-400ECE2954DA}
580054A,-7.516084485657566,55.23378623016093,81.4,3.63,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,49,IE_GSI_GSNI_ApHLOI_49,630781.762,943062.912,{F737E57A-8104-4089-974B-762921791822}
580055A,-7.2392869770341175,55.35099443872322,95.2,3.12,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,50,IE_GSI_GSNI_ApHLOI_50,648246.099,956265.924,{6CDE94BE-5537-4552-BDE5-39C64B94E87D}
580056A,-7.344205798035392,55.34668070688488,10.6,5.65,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,51,IE_GSI_GSNI_ApHLOI_51,641596.547,955718.104,{B98CE9F8-9555-4340-9E81-4A2449AAA9BC}
580057A,-7.37398942614326,55.30420737304136,4.65,7.34,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,52,IE_GSI_GSNI_ApHLOI_52,639749.902,950973.136,{D4F592A5-6688-4D85-8132-1FE0BD51B0D9}
580058A,-7.478143355450149,55.26246282992273,17.7,4.01,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,53,IE_GSI_GSNI_ApHLOI_53,633171.28,946272.204,{6A88AC93-F452-4E1F-A316-DD57B6B21EFE}
580059A,-7.4841914247707075,55.036014529192094,17.400000000000002,4.84,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,54,IE_GSI_GSNI_ApHLOI_54,632973.059,921064.588,{95A6C17B-5FE5-48DD-A8DA-ED9F5F5D3C72}
580061A,-7.384337588812825,55.287741629399086,9.66,7.19,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,55,IE_GSI_GSNI_ApHLOI_55,639109.022,949134.535,{40DE6452-E574-40C7-82E8-BFB9F6BB10BA}
580062A,-7.289859353216265,55.32278029306989,18.7,5.25,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,56,IE_GSI_GSNI_ApHLOI_56,645070.763,953091.632,{A8BF279B-D4BA-473D-9417-85178356A680}
580063A,-7.383980325484148,55.3767176692708,56.9,4.04,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,57,IE_GSI_GSNI_ApHLOI_57,639044.137,959038.421,{C444795A-834D-4B5D-A9DA-BA07B71C1BD3}
580065A,-7.361242616124078,55.315512857925064,14.4,6.88,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,58,IE_GSI_GSNI_ApHLOI_58,640547.741,952238.858,{60F39181-51C8-4C67-9226-11322CF49044}
580066A,-6.958439997595078,55.246637536927345,93.7,3.66,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,59,IE_GSI_GSNI_ApHLOI_59,666231.046,944881.208,{2496D7CB-7B47-475B-B278-B41DED8B6943}
580067A,-7.198290081759531,55.32418939508041,60.7,3.18,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,60,IE_GSI_GSNI_ApHLOI_60,650880.494,953311.531,{F16989F7-FD35-4AFE-A2FE-AB19B57BB276}
580068A,-7.459002977440447,55.28429612861682,33.1,4.92,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,61,IE_GSI_GSNI_ApHLOI_61,634369.046,948711.671,{7E303FAE-4A9E-4A9D-B1C7-02C280EB4AFD}
580069A,-7.493179026108871,55.24528029007823,95.10000000000001,3.08,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,62,IE_GSI_GSNI_ApHLOI_62,632229.463,944352.622,{1BAA61B7-8D64-4D3E-8A59-37C84D9E54A9}
580071A,-7.517239764935836,55.275881689479945,17.0,4.22,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,63,IE_GSI_GSNI_ApHLOI_63,630675.835,947747.913,{56B64A99-6CAA-4D94-80A7-C6B1C582BB93}
580072A,-7.424150432179995,55.27300752913074,21.900000000000002,4.47,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,64,IE_GSI_GSNI_ApHLOI_64,636593.551,947472.914,{A1379886-31E0-4DCF-9C6F-C594DB4FF8CF}
580074A,-7.292068200446526,55.339365422963084,10.9,4.68,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,65,IE_GSI_GSNI_ApHLOI_65,644911.816,954936.239,{2FC5CA72-1C1D-4EFA-9E5D-FB59C859E4E9}
580075A,-7.29018940718828,55.30344331361187,10.4,5.11,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,66,IE_GSI_GSNI_ApHLOI_66,645071.742,950939.092,{DF3EFD13-8CC8-4661-AEC4-D7388E9D0787}
580076A,-7.233310672193801,55.3209112394032,87.3,3.69,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,67,IE_GSI_GSNI_ApHLOI_67,648661.977,952921.635,{E81D288C-9D64-4E95-B9A4-62FC2BB0202E}
580077A,-7.177127810425642,55.2871938251134,56.300000000000004,5.16,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,68,IE_GSI_GSNI_ApHLOI_68,652272.152,949209.396,{F859CC4B-D554-4855-B4DE-5D50F73C623E}
580078A,-7.2350456816357545,55.26846509235775,9.83,4.99,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,69,IE_GSI_GSNI_ApHLOI_69,648615.932,947082.884,{10C1544E-FE88-47F4-8405-CB257F053CB4}
580080A,-7.513025151703119,55.28084108623754,90.4,3.38,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,70,IE_GSI_GSNI_ApHLOI_70,630939.784,948301.793,{BB592B02-042D-49F6-B5C3-11A7809E774F}
580081A,-7.5128947841407205,55.249115262163244,18.400000000000002,4.41,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,71,IE_GSI_GSNI_ApHLOI_71,630972.739,944770.545,{AD0FD838-5FB3-460F-8AB3-C3965B016E19}
580082A,-7.140182739951349,55.28817869106041,15.6,5.9,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,72,IE_GSI_GSNI_ApHLOI_72,654617.639,949347.346,{096B5079-835D-4A3D-81EF-49D973EA35CE}
580083A,-7.356187433184244,55.29119822218094,16.2,7.22,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,73,IE_GSI_GSNI_ApHLOI_73,640893.639,949535.432,{8D004AFA-11BF-459C-A0DE-01F63EE4E6AF}
580084A,-7.191690857586378,55.28852174777443,16.7,5.6000000000000005,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,74,IE_GSI_GSNI_ApHLOI_74,651345.356,949346.375,{02D67854-7974-44F8-B539-E126525A5491}
580086A,-7.141715690948632,55.26602075819435,20.400000000000002,5.69,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,75,IE_GSI_GSNI_ApHLOI_75,654550.632,946879.874,{D3996DAD-5409-4306-8DCE-A7DA25D7EDA7}
580087A,-7.331748382480345,55.05561806069044,11.4,4.69,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,76,IE_GSI_GSNI_ApHLOI_76,642696.987,923329.016,{30005A17-A598-421A-A1E6-5BF52FCA34D1}
580088A,-7.442873990594169,55.01322293473421,10.9,5.39,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,77,IE_GSI_GSNI_ApHLOI_77,635634.461,918548.102,{1E6750F6-72AB-4AD8-B5B5-A6CB9C25E363}
580089A,-7.110466779116131,55.26988396424128,39.6,4.01,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,78,IE_GSI_GSNI_ApHLOI_78,656531.202,947334.76,{CDF0F364-3CBF-4197-8872-7190566EF98C}
580090A,-7.352069789665277,55.05400333340835,13.4,5.3,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,79,IE_GSI_GSNI_ApHLOI_79,641400.265,923137.069,{1899CA34-513A-4589-855B-6B2B1F209326}
580091A,-7.104982880270742,55.24930981742114,38.4,5.15,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,80,IE_GSI_GSNI_ApHLOI_80,656909.1,945049.246,{C57ED79F-E6AE-4B38-9FF4-0A839825F21B}
580092A,-7.384872532396443,55.26640239094073,32.0,4.12,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,81,IE_GSI_GSNI_ApHLOI_81,639096.001,946759.042,{014CCDC2-A69B-4BD6-A627-1FF9A9BAE9F4}
580094A,-7.455080858684907,55.23863969578763,88.10000000000001,4.11,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,82,IE_GSI_GSNI_ApHLOI_82,634657.931,943631.753,{7C61CE3F-E2C0-4867-83DB-F3157B69A9BF}
580095A,-7.264800645855438,55.342105555404515,86.9,3.5700000000000003,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,83,IE_GSI_GSNI_ApHLOI_83,646638.441,955259.154,{CBDAB75D-F483-43F0-A305-06083F22E69D}
580096A,-7.2993393622760445,55.05126774925091,12.8,5.0200000000000005,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,84,IE_GSI_GSNI_ApHLOI_84,644772.534,922865.097,{15474A26-0D21-416D-8AC0-9F8B6E75808A}
580097A,-7.172298664844019,55.31653363100753,10.700000000000001,4.6000000000000005,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,85,IE_GSI_GSNI_ApHLOI_85,652540.122,952478.694,{8F9D67AB-EA3F-4D92-94C0-70D5C525CF7B}
580098A,-7.224502725972279,55.34038317634181,11.700000000000001,4.67,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,86,IE_GSI_GSNI_ApHLOI_86,649196.879,955095.165,{0DE390D3-00B4-4372-833E-F9F938C01F8A}
580099A,-7.418389177042552,55.0352235267715,21.2,5.16,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,87,IE_GSI_GSNI_ApHLOI_87,637180.153,921009.562,{D1592B40-9FA8-4BF9-AEC8-A3E8E6DA3B11}
580100A,-7.108798073614403,55.283974300311066,25.1,4.96,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,88,IE_GSI_GSNI_ApHLOI_88,656617.196,948904.423,{4594EFF6-5906-440D-8A62-40F833417994}
580101A,-7.407891556398376,55.120148017032136,11.0,4.54,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,89,IE_GSI_GSNI_ApHLOI_89,637771.122,930467.535,{0A340093-890C-4893-AFF9-8C559A2930B2}
580102A,-7.578997662204112,54.94550264645679,8.93,4.41,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,90,IE_GSI_GSNI_ApHLOI_90,626973.244,910949.804,{1D8DDD47-3C8B-4CDC-9118-1A4A2BD71F54}
580103A,-7.070603366236414,55.26440390781595,13.0,4.6000000000000005,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,91,IE_GSI_GSNI_ApHLOI_91,659072.638,946757.862,{38C047D2-9587-4078-9BC1-F1D8AABF86D6}
580104A,-7.0745438459822125,55.207915464615496,17.8,5.96,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,92,IE_GSI_GSNI_ApHLOI_92,658905.624,940467.211,{F5349202-D296-4A04-9836-E4BB9EDBC823}
580105A,-7.4462319602472995,55.163956291367846,18.2,4.36,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,93,IE_GSI_GSNI_ApHLOI_93,635286.708,935323.521,{7A0D4275-3CB1-49B1-AAB3-C9352780C907}
580106A,-7.0131024394598835,55.230438203053524,96.5,2.95,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,94,IE_GSI_GSNI_ApHLOI_94,662780.793,943027.631,{517E3FBA-D2E9-46E7-AEBB-231526A1C18E}
580107A,-7.234020387838387,55.21141112973212,93.0,2.98,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,95,IE_GSI_GSNI_ApHLOI_95,648750.844,940733.24,{4F346511-9BC9-4A40-BACE-E4362F7A14A1}
580108A,-7.292597623050946,55.24512586347974,96.8,3.29,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,96,IE_GSI_GSNI_ApHLOI_96,644984.699,944446.481,{D5C862D6-427A-462D-89AD-75FF7F028AF5}
580110A,-7.232726633063612,55.25412357148354,11.1,4.78,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,97,IE_GSI_GSNI_ApHLOI_97,648780.882,945488.223,{27516B82-AFE2-4E3B-9B34-E4662D8A13D2}
580111A,-7.3312177019224265,55.255044743539024,74.2,3.2800000000000002,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,98,IE_GSI_GSNI_ApHLOI_98,642518.246,945526.273,{3088B9DD-879C-4A58-A1F6-5A98E6166AE7}
