SAMPLE_ID,lon,lat,LOI_PCT,PH_CACL2,DATASOURCE,DATASET,OBJECTID,A_PHLOI_ID,X_ITM,Y_ITM,GLOBALID
559608A,-6.628084873650361,54.75734128786903,11.5,5.28,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14795,IE_GSI_GSNI_ApHLOI_14795,688304.854,890789.684,{A5F4B07F-0DA6-4048-9DB2-749663C62654}
559609A,-6.54131406894138,54.79659397638553,11.77,4.97,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14796,IE_GSI_GSNI_ApHLOI_14796,693798.692,895270.702,{F33A1E13-FFAD-469E-B77B-A6ABA084FAA1}
559610A,-6.50045771086762,54.78969933931644,74.44,4.21,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14797,IE_GSI_GSNI_ApHLOI_14797,696442.115,894558.845,{5790867C-F9FC-42F7-A6D1-213018CDAECA}
559611A,-6.6044313541497734,54.820379651501,14.950000000000001,4.8,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14798,IE_GSI_GSNI_ApHLOI_14798,689687.599,897835.167,{C0B5E372-8FF4-4A1A-B6A3-F68D385FD488}
559612A,-6.5975214925121834,54.788569524987636,15.46,4.59,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14799,IE_GSI_GSNI_ApHLOI_14799,690202.466,894303.922,{64871DB2-ED1A-4100-A048-A7ABB9CFCC27}
559613A,-6.557703149074468,54.79308861386563,87.04,3.21,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14800,IE_GSI_GSNI_ApHLOI_14800,692752.917,894858.794,{19559C8C-B1E4-4541-8CA3-58D7ACE13001}
559614A,-6.620586436279663,54.82705056265751,12.41,5.45,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14801,IE_GSI_GSNI_ApHLOI_14801,688634.832,898557.016,{F152D439-8923-41F1-A939-57F835EF16D4}
559615A,-6.657455708126741,54.75744545489769,6.17,5.05,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14802,IE_GSI_GSNI_ApHLOI_14802,686414.262,890764.698,{5DF6B493-6EC3-4196-B556-DB4536F7F747}
559616A,-6.430266864227295,54.85982918520541,16.69,4.62,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14803,IE_GSI_GSNI_ApHLOI_14803,700781.207,902462.138,{4E8C0424-5C34-4C0B-889C-6865B1A4A387}
559618A,-6.392157258407935,54.88802507946292,15.84,4.96,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14804,IE_GSI_GSNI_ApHLOI_14804,703155.698,905655.449,{E13C0E6A-E54B-4F75-9BCF-AE70CDD8DDAE}
559619A,-6.44148066827395,54.82588884421948,11.64,5.61,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14805,IE_GSI_GSNI_ApHLOI_14805,700145.33,898668.953,{42A72314-871E-4B69-8758-1553A03A411C}
559620A,-6.581422881012241,54.76484485014891,11.66,4.8500000000000005,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14806,IE_GSI_GSNI_ApHLOI_14806,691291.214,891684.48,{09582E85-F7F4-4D6A-8BD3-7994B961C268}
559621A,-6.592054562653141,54.75710794801127,9.86,5.0600000000000005,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14807,IE_GSI_GSNI_ApHLOI_14807,690624.352,890809.671,{B4C60A51-A499-4E67-9CF8-0CE4D0A4CBA3}
559622A,-6.4878663924374225,54.83296197419907,13.71,5.0,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14808,IE_GSI_GSNI_ApHLOI_14808,697147.986,899390.807,{A2651461-DA02-459D-84B4-67BDB8EE68DF}
559623A,-6.482488928949725,54.77634143231552,4.0,4.49,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14809,IE_GSI_GSNI_ApHLOI_14809,697629.85,893097.155,{F4A22B55-D930-48BF-AE14-B2850CFC010F}
559624A,-6.295990319500572,54.88234774968107,19.01,4.89,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14810,IE_GSI_GSNI_ApHLOI_14810,709340.337,905169.544,{EEDF4481-BBFC-4F2B-970B-4A4D9AC2A9C5}
559625A,-6.439734144868987,54.87881727083441,15.31,5.24,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14811,IE_GSI_GSNI_ApHLOI_14811,700126.358,904561.6900000001,{23F4631A-296E-4DA6-9E51-BCAA4FB47CD0}
559626A,-6.423847963402933,54.86668157427557,13.63,4.83,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14812,IE_GSI_GSNI_ApHLOI_14812,701176.123,903233.972,{265B73B9-3008-4A48-B957-075F6AED1F97}
559627A,-6.654858755862603,54.791707376867016,12.18,4.84,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14813,IE_GSI_GSNI_ApHLOI_14813,686508.267,894580.879,{0BA86C09-DD9C-4010-A3B4-1BD74AEA10F1}
